ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
0024657893A1,0,2,4,6,5,7,8,9,3,10,1,5147
0052347698A1,0,5,2,3,4,7,6,9,8,10,1,5147
0035276489A1,0,3,5,2,7,6,4,8,9,10,1,5237
0045638792A1,0,4,5,6,3,8,7,9,2,10,1,5237
00453268791A,0,4,5,3,2,6,8,7,9,1,10,5252
00532417896A,0,5,3,2,4,1,7,8,9,6,10,5261
00354672981A,0,3,5,4,6,7,2,9,8,1,10,5268
00432758169A,0,4,3,2,7,5,8,1,6,9,10,5321
0045326897A1,0,4,5,3,2,6,8,9,7,10,1,5327
0053468279A1,0,5,3,4,6,8,2,7,9,10,1,5328
0045632798A1,0,4,5,6,3,2,7,9,8,10,1,5334
0045673289A1,0,4,5,6,7,3,2,8,9,10,1,5334
0052674893A1,0,5,2,6,7,4,8,9,3,10,1,5342
00532468917A,0,5,3,2,4,6,8,9,1,7,10,5345
00435618297A,0,4,3,5,6,1,8,2,9,7,10,5347
00356471892A,0,3,5,6,4,7,1,8,9,2,10,5360
0015342678A9,0,1,5,3,4,2,6,7,8,10,9,5365
0053267184A9,0,5,3,2,6,7,1,8,4,10,9,5369
0054327869A1,0,5,4,3,2,7,8,6,9,10,1,5418
0043625719A8,0,4,3,6,2,5,7,1,9,10,8,5424
0025467398A1,0,2,5,4,6,7,3,9,8,10,1,5424
0054176832A9,0,5,4,1,7,6,8,3,2,10,9,5452
0024567389A1,0,2,4,5,6,7,3,8,9,10,1,5507
0043657289A1,0,4,3,6,5,7,2,8,9,10,1,5508
00546317892A,0,5,4,6,3,1,7,8,9,2,10,5524
00426731859A,0,4,2,6,7,3,1,8,5,9,10,5531
00352478691A,0,3,5,2,4,7,8,6,9,1,10,5540
0042561783A9,0,4,2,5,6,1,7,8,3,10,9,5542
0045367829A1,0,4,5,3,6,7,8,2,9,10,1,5597
00542738961A,0,5,4,2,7,3,8,9,6,1,10,5614
