ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
00536274198A,0,5,3,6,2,7,4,1,9,8,10,50442
00534267891A,0,5,3,4,2,6,7,8,9,1,10,50533
00431652798A,0,4,3,1,6,5,2,7,9,8,10,50613
0035412768A9,0,3,5,4,1,2,7,6,8,10,9,50632
00354176928A,0,3,5,4,1,7,6,9,2,8,10,50635
0035627418A9,0,3,5,6,2,7,4,1,8,10,9,50647
0054673289A1,0,5,4,6,7,3,2,8,9,10,1,50690
0051426739A8,0,5,1,4,2,6,7,3,9,10,8,50694
00453761892A,0,4,5,3,7,6,1,8,9,2,10,50711
00532478961A,0,5,3,2,4,7,8,9,6,1,10,50721
00426735918A,0,4,2,6,7,3,5,9,1,8,10,50770
00436578912A,0,4,3,6,5,7,8,9,1,2,10,50798
0054236718A9,0,5,4,2,3,6,7,1,8,10,9,50816
00534678921A,0,5,3,4,6,7,8,9,2,1,10,50860
00546328791A,0,5,4,6,3,2,8,7,9,1,10,50862
00526378941A,0,5,2,6,3,7,8,9,4,1,10,50864
00563472198A,0,5,6,3,4,7,2,1,9,8,10,50890
00354628917A,0,3,5,4,6,2,8,9,1,7,10,50895
00536427981A,0,5,3,6,4,2,7,9,8,1,10,50897
00531462879A,0,5,3,1,4,6,2,8,7,9,10,50904
0053467812A9,0,5,3,4,6,7,8,1,2,10,9,50920
0035142789A6,0,3,5,1,4,2,7,8,9,10,6,50929
00463725891A,0,4,6,3,7,2,5,8,9,1,10,50952
0035468279A1,0,3,5,4,6,8,2,7,9,10,1,50960
00326571498A,0,3,2,6,5,7,1,4,9,8,10,50982
00254681379A,0,2,5,4,6,8,1,3,7,9,10,50985
00451376298A,0,4,5,1,3,7,6,2,9,8,10,50993
00241635897A,0,2,4,1,6,3,5,8,9,7,10,51071
00451376982A,0,4,5,1,3,7,6,9,8,2,10,51074
00542678391A,0,5,4,2,6,7,8,3,9,1,10,51075
00543617892A,0,5,4,3,6,1,7,8,9,2,10,51078
00253671894A,0,2,5,3,6,7,1,8,9,4,10,51081
0025674381A9,0,2,5,6,7,4,3,8,1,10,9,51087
0054632871A9,0,5,4,6,3,2,8,7,1,10,9,51092
00153246789A,0,1,5,3,2,4,6,7,8,9,10,51133
00456378129A,0,4,5,6,3,7,8,1,2,9,10,51137
0032657498A1,0,3,2,6,5,7,4,9,8,10,1,51138
0042576389A1,0,4,2,5,7,6,3,8,9,10,1,51145
00146578392A,0,1,4,6,5,7,8,3,9,2,10,51154
00356742189A,0,3,5,6,7,4,2,1,8,9,10,51163
00543678219A,0,5,4,3,6,7,8,2,1,9,10,51164
00451628793A,0,4,5,1,6,2,8,7,9,3,10,51172
0041367582A9,0,4,1,3,6,7,5,8,2,10,9,51173
00243615879A,0,2,4,3,6,1,5,8,7,9,10,51174
0043216578A9,0,4,3,2,1,6,5,7,8,10,9,51181
0034267895A1,0,3,4,2,6,7,8,9,5,10,1,51227
0032657894A1,0,3,2,6,5,7,8,9,4,10,1,51230
00453762981A,0,4,5,3,7,6,2,9,8,1,10,51242
00531672894A,0,5,3,1,6,7,2,8,9,4,10,51250
00542736918A,0,5,4,2,7,3,6,9,1,8,10,51251
00453728691A,0,4,5,3,7,2,8,6,9,1,10,51255
00452316798A,0,4,5,2,3,1,6,7,9,8,10,51260
0034627581A9,0,3,4,6,2,7,5,8,1,10,9,51262
00312475698A,0,3,1,2,4,7,5,6,9,8,10,51262
0045362817A9,0,4,5,3,6,2,8,1,7,10,9,51277
0045637298A1,0,4,5,6,3,7,2,9,8,10,1,51317
0045623879A1,0,4,5,6,2,3,8,7,9,10,1,51317
0035624897A1,0,3,5,6,2,4,8,9,7,10,1,51320
00342675189A,0,3,4,2,6,7,5,1,8,9,10,51333
00345271896A,0,3,4,5,2,7,1,8,9,6,10,51335
00345672891A,0,3,4,5,6,7,2,8,9,1,10,51338
00326571894A,0,3,2,6,5,7,1,8,9,4,10,51350
0054637281A9,0,5,4,6,3,7,2,8,1,10,9,51352
00536472981A,0,5,3,6,4,7,2,9,8,1,10,51353
0043567128A9,0,4,3,5,6,7,1,2,8,10,9,51355
0046327185A9,0,4,6,3,2,7,1,8,5,10,9,51365
00356487921A,0,3,5,6,4,8,7,9,2,1,10,51400
